Address,Height,TotalGas,x1,x2,x3,x4,x5,x6,x7,x8
f01001984,3054542,33008644,0,0,0,0,104,0,0,0
f01021204,3054542,47572115,0,0,0,0,297,0,0,0
f0102513,3054542,32821577,0,0,0,0,115,0,0,0
f01061547,3054542,65094997,2,0,0,0,360,0,1,0
f01070558,3054542,65331317,2,0,0,0,361,0,1,0
f0107133,3054542,49684678,0,0,0,0,338,0,0,0
f01082888,3054542,65580533,9,0,0,0,361,0,1,0
f01105829,3054542,49607879,0,0,0,0,323,0,0,0
f01141077,3054542,52165447,0,0,0,0,353,0,0,0
f01155977,3054542,50731889,0,0,0,0,334,0,0,0
f01170282,3054542,65803069,1,0,0,0,361,0,1,0
f0118799,3054542,36107290,0,0,0,0,158,0,0,0
f01189202,3054542,52726600,0,0,0,0,359,0,0,0
f01203879,3054542,37023505,0,0,0,0,152,0,0,0
f01223120,3054542,50448522,0,0,0,0,329,0,0,0
f01228087,3054542,137081817,1,0,0,16,361,0,1,0
f0126478,3054542,64497528,1,0,0,0,361,0,1,0
f01265322,3054542,39698529,0,0,0,0,187,0,0,0
f01270657,3054542,39126505,0,0,0,0,179,0,0,0
f01310053,3054542,65925745,1,0,0,0,356,0,1,0
f0133235,3054542,51548968,0,0,0,0,359,0,0,0
f01396100,3054542,52656748,0,0,0,0,355,0,0,0
f01443744,3054542,52697851,0,0,0,0,355,0,0,0
f0144528,3054542,66756524,2,0,0,0,361,0,1,0
f0144724,3054542,43528186,0,0,0,0,264,0,0,0
f01449869,3054542,63857426,1,0,0,0,347,0,1,0
f01519862,3054542,66364775,1,0,0,0,360,0,1,0
f0152134,3054542,31224063,0,0,0,0,89,0,0,0
f0152712,3054542,26147796,0,0,0,0,21,0,0,0
f0153932,3054542,63643621,1,0,0,0,358,0,1,0
f01566485,3054542,66670395,2,0,0,0,361,0,1,0
f01578721,3054542,53350717,0,0,0,0,358,0,0,0
f01627811,3054542,53014971,0,0,0,0,356,0,0,0
f01674728,3054542,54195009,0,0,0,0,361,0,0,0
f01777785,3054542,54643956,0,0,0,0,361,0,0,0
f01797361,3054542,64403110,1,0,0,0,286,0,1,0
f01814416,3054542,66853215,4,0,0,0,361,0,1,0
f01825161,3054542,65796005,1,0,0,0,360,0,1,0
f01825473,3054542,53353172,0,0,0,0,357,0,0,0
f01854755,3054542,52471058,0,0,0,0,345,0,0,0
f01876488,3054542,66844249,1,0,0,0,361,0,1,0
f01877620,3054542,33480465,0,0,0,0,93,0,0,0
f01877862,3054542,54527544,0,0,0,0,360,0,0,0
f01907865,3054542,65067682,1,0,0,0,352,0,1,0
f01923930,3054542,66338478,1,0,0,0,360,0,1,0
f01925050,3054542,71331613,8,0,0,0,361,0,1,0
f019354,3054542,34094425,0,0,0,0,70,0,0,0
f01937964,3054542,72156626,1,0,0,0,361,0,1,0
f01940076,3054542,54039805,0,0,0,0,360,0,0,0
f01949065,3054542,66376838,1,0,0,0,361,0,1,0
f01962263,3054542,55358035,0,0,0,0,355,0,0,0
f01975338,3054542,65627339,1,0,0,0,361,0,1,0
f01986262,3054542,78108614,0,0,0,32,361,0,0,0
f01997673,3054542,65471896,1,0,0,0,360,0,1,0
f02026730,3054542,52669986,0,0,0,0,361,0,0,0
f02033496,3054542,85328846,1,0,0,17,360,0,1,0
f02036171,3054542,53895085,0,0,0,0,361,0,0,0
